ticker,date,open,high,low,close,volume
AAPL,2021-12-27T00:00:00.000Z,177.1,180.4,177.1,180.35,761942
AAPL,2021-12-28T00:00:00.000Z,180.25,181.32,178.55,179.37,733651
AAPL,2021-12-29T00:00:00.000Z,179.32,180.61,178.15,179.36,477540
AAPL,2021-12-30T00:00:00.000Z,179.55,180.56,178.09,178.32,591184
AAPL,2021-12-31T00:00:00.000Z,178.09,179.19,177.27,177.62,577680
AAPL,2022-01-03T00:00:00.000Z,177.88,182.88,177.73,182,1213516
AAPL,2022-01-04T00:00:00.000Z,182.66,182.88,179.15,179.76,1473782
AAPL,2022-01-05T00:00:00.000Z,179.67,180.13,174.75,174.75,1118573
AAPL,2022-01-06T00:00:00.000Z,172.67,175.28,171.64,172.02,1631318
AAPL,2022-01-07T00:00:00.000Z,172.79,174.14,171.04,172.18,866744
AAPL,2022-01-10T00:00:00.000Z,169.08,172.5,168.19,172.17,1445837
AAPL,2022-01-11T00:00:00.000Z,172.31,175.18,170.83,174.93,953694
AAPL,2022-01-12T00:00:00.000Z,176.07,177.15,174.87,175.51,699538
AAPL,2022-01-13T00:00:00.000Z,175.72,176.6,171.79,172.29,1200943
AAPL,2022-01-14T00:00:00.000Z,171.42,173.73,171.1,173.07,962795
AAPL,2022-01-18T00:00:00.000Z,171.49,172.52,169.41,169.86,1109853
AAPL,2022-01-19T00:00:00.000Z,170.01,171.06,166,166.2,1067606
AAPL,2022-01-20T00:00:00.000Z,166.89,169.63,164.26,164.61,1370228
AAPL,2022-01-21T00:00:00.000Z,164.41,166.33,162.34,162.42,1590898
AAPL,2022-01-24T00:00:00.000Z,160.09,162.26,154.71,161.84,2489192
AAPL,2022-01-25T00:00:00.000Z,158.82,162.73,157.02,159.97,1194491
AAPL,2022-01-26T00:00:00.000Z,163.5,164.36,157.85,159.68,2134448
AAPL,2022-01-27T00:00:00.000Z,162.48,163.83,158.29,158.9,2062151
AAPL,2022-01-28T00:00:00.000Z,165.65,170.35,162.81,170.33,3517295
AAPL,2022-01-31T00:00:00.000Z,170.14,174.93,169.55,174.9,1912589
AAPL,2022-02-01T00:00:00.000Z,174.06,174.8,172.34,174.55,1091302
AAPL,2022-02-02T00:00:00.000Z,174.72,175.88,173.33,175.58,1241415
AAPL,2022-02-03T00:00:00.000Z,174.56,176.21,172.15,173.17,1262605
AAPL,2022-02-04T00:00:00.000Z,171.61,174.09,170.71,172.27,1193715
AAPL,2022-02-07T00:00:00.000Z,172.79,173.94,170.95,171.67,943091
AAPL,2022-02-08T00:00:00.000Z,171.75,175.35,171.45,174.82,1131243
AAPL,2022-02-09T00:00:00.000Z,176.17,176.65,174.91,176.25,1023719
AAPL,2022-02-10T00:00:00.000Z,174.13,175.47,171.55,172.22,1498317
AAPL,2022-02-11T00:00:00.000Z,172.3,173.08,168.07,168.58,1375506
AAPL,2022-02-14T00:00:00.000Z,167.28,169.57,166.57,168.97,1273581
AAPL,2022-02-15T00:00:00.000Z,170.88,172.92,170.28,172.82,1151571
AAPL,2022-02-16T00:00:00.000Z,171.81,173.31,170.09,172.49,977112
AAPL,2022-02-17T00:00:00.000Z,171.02,171.89,168.49,168.92,1292483
AAPL,2022-02-18T00:00:00.000Z,169.87,170.52,166.21,167.59,1147208
AAPL,2022-02-22T00:00:00.000Z,165.1,166.66,162.16,164.32,1547329
AAPL,2022-02-23T00:00:00.000Z,165.55,166.15,159.75,160.15,1403751
AAPL,2022-02-24T00:00:00.000Z,152.57,162.83,152.03,162.74,2076235
AAPL,2022-02-25T00:00:00.000Z,163.75,165.04,160.88,164.88,1579562
AAPL,2022-02-28T00:00:00.000Z,163.14,165.4,162.46,165.28,1466744
